アイテム,識別子,ラベル,地域,緯度,経度
https://mediaarts-db.bunka.go.jp/id/C45304,C45304,Eden Games,"Lyon, France",,
https://mediaarts-db.bunka.go.jp/id/C45306,C45306,マトリックス,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C45307,C45307,Sucker Punch Productions,"Bellevue, Washington, United States",,
https://mediaarts-db.bunka.go.jp/id/C45308,C45308,epics,東京都中央区日本橋茅場町2丁目13番13号共同ビル4F,,
https://mediaarts-db.bunka.go.jp/id/C45311,C45311,ミレニアムキッチン,東京都豊島区池袋4-17-3-314,,
https://mediaarts-db.bunka.go.jp/id/C45310,C45310,Image Space Incorporated,"Ann Arbor, Michigan, US",,
https://mediaarts-db.bunka.go.jp/id/C45314,C45314,シング,"福岡県福岡市中央区舞鶴2丁目1-10
福岡ロプロビル8階",,
https://mediaarts-db.bunka.go.jp/id/C45313,C45313,Black Ops Entertainment,"Santa Monica, California, US.",,
https://mediaarts-db.bunka.go.jp/id/C45315,C45315,Visceral Games,"Redwood City, California, United States",,
https://mediaarts-db.bunka.go.jp/id/C45318,C45318,Acclaim Studios Austin,"Austin, Texas, United States",,
https://mediaarts-db.bunka.go.jp/id/C45316,C45316,フロントウイング,東京都千代田区九段北1-15-14 5F,,
https://mediaarts-db.bunka.go.jp/id/C45321,C45321,カゼ,東京都港区南青山7-3-2,,
https://mediaarts-db.bunka.go.jp/id/C45320,C45320,セイコーエプソン,長野県諏訪市大和三丁目3番5号ｚ,,
https://mediaarts-db.bunka.go.jp/id/C45317,C45317,ファブコミュニケーションズ,東京都渋谷区渋1-32-12 渋谷プロパティータワー1F,,
https://mediaarts-db.bunka.go.jp/id/C45291,C45291,コンテライド,"東京都千代田区外神田3丁目16番12号
アキバCOビル4階",,
https://mediaarts-db.bunka.go.jp/id/C45298,C45298,スリーディー・エイジス,東京都港区六本木4-8-6パシフィックキャピタルプラザビル4F,,
https://mediaarts-db.bunka.go.jp/id/C45297,C45297,クロスアルファ,東京都渋谷区南平台町16番11号,,
https://mediaarts-db.bunka.go.jp/id/C45292,C45292,デザートプロダクションズ,兵庫県神戸市中央区江戸町８５番１号,,
https://mediaarts-db.bunka.go.jp/id/C45295,C45295,EA Tiburon,"Maitland, Florida",,
https://mediaarts-db.bunka.go.jp/id/C45294,C45294,GrandPrix,千葉県柏市,,
https://mediaarts-db.bunka.go.jp/id/C45293,C45293,SCE Studio Liverpool,"Liverpool, England",,
https://mediaarts-db.bunka.go.jp/id/C45296,C45296,Budcat Creations,"Iowa City, Iowa, United States",,
https://mediaarts-db.bunka.go.jp/id/C45289,C45289,Magic Pockets,"Torcy, France",,
https://mediaarts-db.bunka.go.jp/id/C45288,C45288,アルファ・システム,熊本県熊本市中央区南熊本五丁目10-17,,
https://mediaarts-db.bunka.go.jp/id/C45290,C45290,キャリアソフト,日本,,
https://mediaarts-db.bunka.go.jp/id/C45347,C45347,D4エンタープライズ,東京都千代田区内神田1-5-4 加藤ビル,,
https://mediaarts-db.bunka.go.jp/id/C45349,C45349,CSK総合研究所,東京都渋谷区渋谷一丁目7番7号住友不動産青山通ビル9階,,
https://mediaarts-db.bunka.go.jp/id/C45350,C45350,コモリンク,東京都渋谷区千駄ヶ谷１丁目３－１９ タケモトビル３階,,
https://mediaarts-db.bunka.go.jp/id/C45344,C45344,ソフトプロ,大阪市北区豊崎５－２－１３東商豊崎ビル７０１号,,
https://mediaarts-db.bunka.go.jp/id/C45345,C45345,エイチーム,愛知県名古屋市中村区名駅3丁目28番12号大名古屋ビルヂング32F,,
https://mediaarts-db.bunka.go.jp/id/C45346,C45346,アミューズ,東京都港区赤坂3-12-13 アミューズ赤坂ビル,,
https://mediaarts-db.bunka.go.jp/id/C45351,C45351,共同テレビジョン,東京都中央区築地5-6-10浜離宮パークサイドプレイス11・12階（本社）フジテレビ分室（分室1）〒135-0091東京都港区台場2-4-8 フジテレビジョン内ダイバーシティ東京分室（分室2）〒135-0064東京都江東区青海1-1-20 ダイバーシティ東京 オフィスタワー,,
https://mediaarts-db.bunka.go.jp/id/C45353,C45353,JOYCITY Corp,"韓国, ソンナム市",,
https://mediaarts-db.bunka.go.jp/id/C45355,C45355,メディアリング,東京都港区赤坂8丁目5番32号田中駒ビル2階,,
https://mediaarts-db.bunka.go.jp/id/C45356,C45356,Rising Star Games,イギリス、ハートフォードシャー州ヒッチン　　アメリカ合衆国カリフォルニア州,,
